platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	CZ	Czechia	Erasmus Student Network		25226723130	Facebook	2	1	5856	2928	3	0
f	Facebook	CZ	Czechia	Hoagard		331529506998997	Facebook	11	1	5727	1118	12	1
f	Facebook	CZ	Czechia	FontBundles.net		1653056048283270	Facebook	3	1	5631	2291	26	4
f	Facebook	CZ	Czechia	Scoutshirts		1805046789751195	Facebook	2	1	5620	2208	75	0
f	Facebook	CZ	Czechia	Tuxy		870667836405958	Facebook	3	1	5615	2293	25	5
f	Facebook	CZ	Czechia	γυρίζουμε		278308089460720	Facebook	7	1	5144	2175	36	8
f	Facebook	CZ	Czechia	Robert Schuman Centre for Advanced Studies		176582089060752	Facebook	2	1	5014	1003	98	0
f	Facebook	CZ	Czechia	Pirátská strana - Vysočina	Česká pirátská strana	284247164921991	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Mirek Žbánek - prima primátor	wecreate media	325428267939168	Facebook	1	1	4999	1000	3	0
f	Facebook	CZ	Czechia	ODS Pardubický kraj	ODS - Občanská demokratická strana	146108975400840	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	KDU-ČSL Kuřim	Jelinek Karel	671658553191652	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	ANO, máme rádi Olomouc	wecreate media	240004189482300	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	ODS Jičín	Janecek Jan	270067093003522	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Piráti Strakonicko		1548129898762888	Facebook	1	1	4999	999	19	3
f	Facebook	CZ	Czechia	iROZHLAS.cz		123858471641	Facebook	1	1	4999	999	19	3
f	Facebook	CZ	Czechia	Rekonstrukce Evropy		316303239055919	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Česká pirátská strana - Ústecký kraj		496346277123749	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Mona Nechvátalová - hnutí HLAS		2136921333063029	Facebook	1	1	4999	1000	88	0
f	Facebook	CZ	Czechia	Svobodný Zpravodaj		1405674299708597	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Pirátské listy		616512568442040	Facebook	1	1	4999	1000	3	0
f	Facebook	CZ	Czechia	David Repecký		436000576547172	Facebook	1	1	4999	999	88	0
f	Facebook	CZ	Czechia	Odpady-portal.sk		283025969119	Facebook	1	1	4999	1000	99	0
f	Facebook	CZ	Czechia	VyjdiVen		210293943053664	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	KSČM - S lidmi pro lidi na Kroměřížsku		165140686832929	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Kateřina Jacques		51832713011	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Piráti Chebsko		147316752648731	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Má Evropa		275601109790503	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Prague Civil Society Centre		310121279576699	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Linda McCartney Foods CZ/SK		1123257347697347	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	66 běžeckých rad		697063613670198	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Parlament dětí a mládeže města Ostravy		381533961976019	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Hlasy zvířat		1523633234529577	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	NE Bruselu - Národní demokracie		240797486091742	Facebook	1	1	4999	1000	3	0
f	Facebook	CZ	Czechia	Frank Bold		118904461524646	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Zelení v Praze 14		185140842205	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	MotivP TALKS		1650463435205976	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Patnáctka náš domov		1437504856499990	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Lepší Kladno /Watch dog/		146802652030049	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Pavel Ziegler		377503322404513	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	Neobal - Bezobalový obchod		371388386781671	Facebook	1	1	4999	1000	19	3
f	Facebook	CZ	Czechia	CPS Trojlístek, z.s.		1728840264046471	Facebook	1	1	4999	1000	19	3
