advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	m	male	IE	Ireland	7	1	99669	33835	757	123
Clare Claffey Social Democrats	Social Democrats Laois Offaly	289004898593218	Facebook	m	male	IE	Ireland	8	1	92875	19691	321	0
Fiona Nolan Fianna Fáil	Sweeney Simon Martin	2220109951652114	Facebook	m	male	IE	Ireland	4	1	92095	19919	221	0
Department of Politics and Public Administration UL		190855980950496	Facebook	m	male	IE	Ireland	3	1	92068	18414	182	0
Adrienne Wallace - People Before Profit	Wallace Adrienne Catherine	1555518121383424	Facebook	m	male	IE	Ireland	14	1	89648	20658	743	0
Mark Carey - City West - Time for Change	Steamboat	433481587460366	Facebook	m	male	IE	Ireland	7	1	82948	18285	743	103
Pro Life Campaign Ireland	Pro Life Campaign Ireland	224615650378	Facebook	m	male	IE	Ireland	4	1	79268	25782	791	257
Women for Election	Women for Election	115885998520125	Facebook	m	male	IE	Ireland	1	1	74785	37392	373	186
Alex White	Mc Kinney Eunan Anthony	58389344622	Facebook	m	male	IE	Ireland	2	1	67368	26817	450	90
Denise McMorrow for Dublin 2019	Mc Morrow Denise	438930423601172	Facebook	m	male	IE	Ireland	13	1	66434	16722	788	0
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	m	male	IE	Ireland	3	1	61274	12255	191	0
Horseworldeu		106222951129	Facebook	m	male	IE	Ireland	2	1	59377	11875	117	0
Amnesty International-Ireland	Amnesty International-Ireland	158961023733	Facebook	m	male	IE	Ireland	3	1	57325	27741	196	27
Clare Daly	Clare Daly	304407706241836	Facebook	m	male	IE	Ireland	5	1	55362	16351	299	0
Malachy Hand - FF Local Election Candidate for South Roscommon	Hand Malachy	949185501928800	Facebook	m	male	IE	Ireland	6	1	52864	13792	353	0
Josiah Burke	Burke Josiah Emmanuelle	162814401227663	Facebook	m	male	IE	Ireland	3	1	52180	10436	544	99
Fine Gael Limerick City	Breen Colm Timothy	137766716313436	Facebook	m	male	IE	Ireland	5	1	51191	13064	222	0
Cllr. Kate Feeney	Feeney Kate	474266742640101	Facebook	m	male	IE	Ireland	4	1	50395	11363	524	87
Gillian Brien - People Before Profit		433347757082574	Facebook	m	male	IE	Ireland	1	1	49999	10000	99	0
