advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jouni Markkanen		1449060808647833	Facebook	w014	Week 14	FI	Finland	2	1	3141	428	141	0
Kulttuurivihkot		121791911211915	Facebook	w014	Week 14	FI	Finland	1	1	3124	625	61	0
Tuomas Ojajärvi		1480877175509481	Facebook	w014	Week 14	FI	Finland	1	1	3124	625	61	0
Harri Virtanen SDP		420657564935793	Facebook	w014	Week 14	FI	Finland	1	1	3124	625	311	62
Nouskaa taistoon paremman tulevaisuuden puolesta		429762287781730	Facebook	w014	Week 14	FI	Finland	5	1	3096	0	306	0
KD Kaakkois-Suomi		1127568197417240	Facebook	w014	Week 14	FI	Finland	1	1	3080	616	60	0
Popikki		1349696345097160	Facebook	w014	Week 14	FI	Finland	1	1	3056	611	60	0
Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	w014	Week 14	FI	Finland	1	1	2999	600	59	0
Eino Nissinen -Eduskuntavaaliehdokas		1016297578574604	Facebook	w014	Week 14	FI	Finland	1	1	2999	600	59	0
Lauri Linna		680810798736221	Facebook	w014	Week 14	FI	Finland	1	1	2999	600	59	0
Antti Astikainen eduskuntavaaliehdokas		327668014495830	Facebook	w014	Week 14	FI	Finland	1	1	2999	600	52	0
Mediaplanet Stories		452253761911595	Facebook	w014	Week 14	FI	Finland	3	1	2997	0	297	0
Mikko Ohela		201647537374497	Facebook	w014	Week 14	FI	Finland	2	1	2996	399	138	0
Varsinais-Suomen Piraatit		264624481806	Facebook	w014	Week 14	FI	Finland	1	1	2969	594	58	0
Mareli Systems Ltd		1459548837510659	Facebook	w014	Week 14	FI	Finland	4	1	2947	641	24	0
Sonja Koto - Teoilla terveyttä		400415830350621	Facebook	w014	Week 14	FI	Finland	1	1	2916	1458	28	0
Emilia Taskinen		297025667654067	Facebook	w014	Week 14	FI	Finland	4	1	2913	485	96	0
Leena Zittling - Eurovaaliehdokas 2019 - KOK		804330503290879	Facebook	w014	Week 14	FI	Finland	3	1	2837	0	281	0
Jaana Wessman, Vas.		146546758813837	Facebook	w014	Week 14	FI	Finland	2	1	2769	466	89	0
