advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jakub Hruška	Hruška Jakub	399826497106352	Facebook	f	female	CZ	Czechia	1	1	999	0	3	0
Vote for a Woman / Stem op een Vrouw		1329572193784367	Facebook	f	female	CZ	Czechia	3	1	756	149	2	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	f	female	CZ	Czechia	5	1	702	251	2	0
Jsme fér		578342809023884	Facebook	f	female	CZ	Czechia	1	1	499	0	1	0
TOP 09 - Liberecký kraj	TOP 09	316563285803	Facebook	f	female	CZ	Czechia	1	1	485	0	1	0
Piráti Praha 6		623900784396150	Facebook	f	female	CZ	Czechia	1	1	480	0	1	0
Pride Business Forum	Pride Business Forum	405910949466894	Facebook	f	female	CZ	Czechia	1	1	388	0	7	1
Český soběstačný dům		1034759736587732	Facebook	f	female	CZ	Czechia	1	1	331	0	1	0
Prague Security Studies Institute		413476830191	Facebook	f	female	CZ	Czechia	1	1	223	0	0	0
CRIF		395919323779707	Facebook	f	female	CZ	Czechia	1	1	208	104	1	0
Saaczech		1891172680926309	Facebook	f	female	CZ	Czechia	1	1	192	0	0	0
Peak.cz		378827025796132	Facebook	f	female	CZ	Czechia	1	1	166	0	0	0
Europe Thinx		335839580440114	Facebook	f	female	CZ	Czechia	1	1	138	27	0	0
Jan Olbrycht	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	153098244704447	Facebook	f	female	CZ	Czechia	13	1	130	34	0	0
ETUC		129041250601685	Facebook	f	female	CZ	Czechia	1	1	91	18	0	0
SMER - SD Malacky	SMER - SD	589008741144982	Facebook	f	female	CZ	Czechia	18	1	86	20	2	0
Andrzej Buła	KKW Koalicja Europejska PO PSL SLD .N Zieloni	158877910847285	Facebook	f	female	CZ	Czechia	3	1	68	13	0	0
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	f	female	CZ	Czechia	6	1	68	13	0	0
Szymon Chojnowski	KW Wiosna Roberta Biedronia	227555114762803	Facebook	f	female	CZ	Czechia	2	1	58	11	0	0
Big News Buzz		125179374733697	Facebook	f	female	CZ	Czechia	1	1	49	24	0	0
Lucia Kleštincová	EUpositive.sk	1933440166748185	Facebook	f	female	CZ	Czechia	3	1	42	20	0	0
Izabela Kloc	Komitet Wyborczy Prawo i Sprawidliwość	171128483067743	Facebook	f	female	CZ	Czechia	4	1	41	15	0	0
Martin Hojsík • Progresívne Slovensko	Hojsik Martin	147166706140048	Facebook	f	female	CZ	Czechia	1	1	41	8	0	0
Małgorzata Sekuła-Szmajdzińska - kandydatka do Parlamentu Europejskiego	Katarzyna Kijakowska	420227048536701	Facebook	f	female	CZ	Czechia	6	1	35	15	0	0
Tomasz Terlecki	KW Wiosna Roberta Biedronia	2272893249704364	Facebook	f	female	CZ	Czechia	2	1	33	14	0	0
ITUC		20556338116	Facebook	f	female	CZ	Czechia	2	1	30	0	3	0
Tomasz "Maślak" Maśnica	Jerzy Marian Smolicha	592440527549498	Facebook	f	female	CZ	Czechia	2	1	26	6	0	0
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	f	female	CZ	Czechia	2	1	21	4	0	0
Eurozine		115579498521257	Facebook	f	female	CZ	Czechia	1	1	19	3	0	0
JUNOS Studierende	JUNOS Studierende	231166380411824	Facebook	f	female	CZ	Czechia	4	1	14	3	0	0
Tobias Krammer	Tobias Krammer	1643134582482219	Facebook	f	female	CZ	Czechia	1	1	13	2	0	0
Jarosław Duda	KKW Koalicja Europejska PO PSL SLD .N ZIELONI	100666510056063	Facebook	f	female	CZ	Czechia	1	1	12	2	0	0
JUDr. Miroslav Radačovský, ex sudca - kandidát na poslanca EP	Radačovský Michal	730919327293761	Facebook	f	female	CZ	Czechia	4	1	12	3	0	0
Janka Ochojska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	573994789747274	Facebook	f	female	CZ	Czechia	1	1	11	2	0	0
Mariusz Kotarba - Kandydat do Parlamentu Europejskiego	KW Wiosna Roberta Biedronia	307031223301174	Facebook	f	female	CZ	Czechia	2	1	10	2	0	0
Dobromir Sośnierz	KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY	1389430631355482	Facebook	f	female	CZ	Czechia	1	1	9	1	0	0
Jaroslav Paška	Pašková Juliana	480862355305905	Facebook	f	female	CZ	Czechia	3	1	9	1	0	0
DIE LINKE. Dresden	DIE LINKE. Dresden	101065286702367	Facebook	f	female	CZ	Czechia	3	1	8	2	0	0
Norbert Kurilla	Most-Híd (Híd-Most)	355021862017547	Facebook	f	female	CZ	Czechia	1	1	8	1	0	0
Christoph Czakalla & Team	Christoph Czakalla	409314986526442	Facebook	f	female	CZ	Czechia	2	1	7	2	0	0
KUKIZ'15 • Podbeskidzie	Dariusz Witold Mierzwa	1499178863637899	Facebook	f	female	CZ	Czechia	1	1	7	1	0	0
Milan Potocký	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1977234279243101	Facebook	f	female	CZ	Czechia	1	1	7	3	0	0
POST VON GEHRKE	Elmar Gehrke	630172117364339	Facebook	f	female	CZ	Czechia	1	1	6	3	0	0
Łukasz Kohut	KW Wiosna Roberta Biedronia 	1465965073732774	Facebook	f	female	CZ	Czechia	1	1	6	1	0	0
Krzysztof Sitarski Poseł na Sejm RP	Krzysztof Serafin Sitarski	897838423640166	Facebook	f	female	CZ	Czechia	8	1	5	1	0	0
Peter Pollák	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	307556876112136	Facebook	f	female	CZ	Czechia	1	1	5	1	0	0
Ondrej Prostredník • Prostredník medzi Vami a Európou	Progresívne Slovensko	951009345100113	Facebook	f	female	CZ	Czechia	4	1	5	2	0	0
Doprava	DOPRAVA	184971192157634	Facebook	f	female	CZ	Czechia	1	1	5	1	0	0
Andrzej Kisielewicz	KW Prawo i Sprawiedliwość	1550061501790606	Facebook	f	female	CZ	Czechia	3	1	4	2	0	0
Volt Deutschland	Volt Deutschland	134209407129787	Facebook	f	female	CZ	Czechia	3	1	3	0	0	0
GRAS - Grüne & Alternative Student_innen	GRAS - Grüne & Alternative Student_innen	79935247286	Facebook	f	female	CZ	Czechia	3	1	3	1	0	0
JU-Kreisverband Deggendorf	Stefan Johann Zitzelsberger	377562525780294	Facebook	f	female	CZ	Czechia	2	1	3	1	0	0
Lukas Mandl	Verein VSM - Vorzugsstimmen für Mandl	436914289678818	Facebook	f	female	CZ	Czechia	1	1	2	0	0	0
Agnieszka Ścigaj - Poseł na Sejm RP	Komitet Wyborczy Wyborców KUKIZ15	1476482495991048	Facebook	f	female	CZ	Czechia	1	1	1	0	0	0
Uwe Gewiese - Burgenlandkreis	Uwe Gewiese	1814149425539524	Facebook	f	female	CZ	Czechia	1	1	1	0	0	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	f	female	CZ	Czechia	2	1	1	0	0	0
Tom MacDonald		212732770186	Facebook	f	female	CZ	Czechia	1	1	1	0	0	0
Alexander Hannes	CSU Kreisverband Regen	287380818788155	Facebook	f	female	CZ	Czechia	1	1	0	0	0	0
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	f	female	CZ	Czechia	2	1	0	0	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	f	female	CZ	Czechia	1	1	0	0	0	0
Tomáš Dentico, váš hlas rešpektovaný v Europarlamente	SPOLU - občianska demokracia	1172318522948253	Facebook	f	female	CZ	Czechia	1	1	0	0	0	0
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	f	female	CZ	Czechia	1	1	0	0	0	0
The UK EU Party	Pierre Edmond Kirk	863185927364896	Facebook	f	female	CZ	Czechia	1	1	0	0	0	0
