advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Democrazia Solidale - DEMOS	Paolo Ciani 	1497251783844508	Facebook	65_	65+	IT	Italy	23	1	39862	10709	427	0
Gabriele Padovani	Andrea Liverani	1559045154349568	Facebook	65_	65+	IT	Italy	18	1	39603	8210	346	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	65_	65+	IT	Italy	15	1	39517	13765	184	27
BARBARA MATERA	Barbara Matera	78020429052	Facebook	65_	65+	IT	Italy	3	1	39305	15454	71	0
Bianca Verrillo	Bianca Verrillo	597101660767723	Facebook	65_	65+	IT	Italy	7	1	38824	9353	135	0
Silvia Sardone	Silvia Sardone	667483386685540	Facebook	65_	65+	IT	Italy	15	1	38700	8191	182	0
Lorenzo Tosa	Lorenzo Tosa	476250932907074	Facebook	65_	65+	IT	Italy	3	1	38555	15294	186	25
Ambasciata di Sardegna	Stefano Maullu	173786969363481	Facebook	65_	65+	IT	Italy	1	1	38433	19216	191	38
Leila Kechoud - Candidata al Parlamento europeo - 26 maggio 2019	Leila Kechoud	2247400732195775	Facebook	65_	65+	IT	Italy	11	1	38184	10753	275	10
Verdi di Modena	Paolo Silingardi 	1585669864794758	Facebook	65_	65+	IT	Italy	6	1	37975	7935	378	73
Damiano Bormolini	Enrico Gobbi	286055062304030	Facebook	65_	65+	IT	Italy	4	1	37709	12882	287	57
Valeria Di Nino - Candidata M5S Elezioni Europee - Sud	Valeria Di Nino	346634905977977	Facebook	65_	65+	IT	Italy	5	1	37613	11175	118	12
Popolo della Famiglia - Lazio	Guido Pianeselli 	356312904827073	Facebook	65_	65+	IT	Italy	2	1	37394	7478	373	74
Big News Buzz		125179374733697	Facebook	65_	65+	IT	Italy	1	1	37339	18669	166	83
Anna Maria Bernini	Anna Maria Bernini	146169045979888	Facebook	65_	65+	IT	Italy	29	1	37231	8027	299	0
Luca Rossi per la Regione Piemonte	The Flag srl	1505721276316265	Facebook	65_	65+	IT	Italy	6	1	36937	8004	122	0
Gigi Casciello	Luigi Casciello	826579060729311	Facebook	65_	65+	IT	Italy	3	1	36906	14076	219	39
Giovanni Guidi		134845253246587	Facebook	65_	65+	IT	Italy	2	1	36395	18103	109	18
Andrea Vannucci per Firenze	Andrea Vannucci	547494135363560	Facebook	65_	65+	IT	Italy	13	1	36168	8686	216	7
Pier Luigi Mottinelli	Pier Luigi Mottinelli	1999539790166556	Facebook	65_	65+	IT	Italy	11	1	35938	9912	274	26
Giulia Pastorella	Giulia Pastorella | Europa per Scelta	2233320866726559	Facebook	65_	65+	IT	Italy	13	1	35877	7476	198	0
Caio Mussolini	Caio Mussolini	2393234914229651	Facebook	65_	65+	IT	Italy	10	1	35648	13283	159	22
Sinistra per Calenzano	Simone Giuntini	2502767379948983	Facebook	65_	65+	IT	Italy	9	1	35364	8141	223	18
Claudio Fochi consigliere M5S	Claudio Fochi	509365529239515	Facebook	65_	65+	IT	Italy	7	1	35306	6929	149	0
Matteo Biffoni	Comitato elettorale Matteo Biffoni Sindaco.	1447603378788857	Facebook	65_	65+	IT	Italy	21	1	34940	9035	241	0
Eleonora Forenza	Eleonora Forenza	302764019871151	Facebook	65_	65+	IT	Italy	5	1	34531	7925	119	0
Elena Gentile	Elena Gentile	1426435657576038	Facebook	65_	65+	IT	Italy	6	1	34512	12956	200	32
Coalizione Civica Ferrara	Coalizione Civica per Ferrara	431281497628012	Facebook	65_	65+	IT	Italy	3	1	34406	6881	134	16
Cittadini per Depaoli Sindaco	Cittadini	695550523822101	Facebook	65_	65+	IT	Italy	10	1	34346	10454	169	20
Beatrice Brignone	Possibile	454468194886964	Facebook	65_	65+	IT	Italy	4	1	33511	6702	334	67
Amnesty International - Italia	Amnesty International - Italia	39993728498	Facebook	65_	65+	IT	Italy	3	1	33311	12395	75	9
Anna Ascani	Anna Ascani	290721534331298	Facebook	65_	65+	IT	Italy	4	1	33166	8407	112	0
Paola Natalicchio	Gianluca Martone	258195327693994	Facebook	65_	65+	IT	Italy	12	1	32679	7983	240	0
