platform_code_filter	platform_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	DéFI	DéFI	173518112695794	Facebook	149	1	3880851	952000	22851	2300
f	Facebook	Stichting Vluchteling		120034538112114	Facebook	83	1	3873917	1524000	59117	13900
f	Facebook	Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	80	1	3864920	1388000	13220	1600
f	Facebook	Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	44	1	3843956	1565000	8056	1200
f	Facebook	London Gov	the Greater London Authority	713179875369048	Facebook	43	1	3825957	1674000	36748	7290
f	Facebook	Property & Business Info		562032903912680	Facebook	283	1	3817717	1103000	58689	8794
f	Facebook	Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	20	1	3815980	1593000	6918	3113
f	Facebook	Politice.net	politice.net	2546711162025064	Facebook	12	1	3675988	1738000	3611	756
f	Facebook	Litere.net	litere.net	1504323906337545	Facebook	13	1	3669987	1690000	3148	798
f	Facebook	Ingredientes que Suman		586540488142205	Facebook	13	1	3664987	1686000	9487	2100
f	Facebook	Stefano Maullu		150618724962388	Facebook	34	1	3641966	1452000	9466	1800
f	Facebook	Renew	Renew  Party	1923371311278106	Facebook	179	1	3635821	868000	42956	6248
f	Facebook	Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	42	1	3595958	1485000	9358	1300
f	Facebook	Coalicion Canaria	Coalicion Canaria	1499578240271320	Facebook	45	1	3589955	1362000	8955	1400
f	Facebook	Mayor of London	the Greater London Authority	360322167647280	Facebook	18	1	3580982	1482000	37472	7290
f	Facebook	Agence Isolation Pour Tous		568528630290119	Facebook	25	1	3577975	1481000	43675	10100
f	Facebook	Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	22	1	3568978	1618000	23378	4400
f	Facebook	Mónica Oltra	Compromís	81107269227	Facebook	19	1	3556981	1611000	13381	3200
f	Facebook	MDM Deutsche Münze		126866220711392	Facebook	47	1	3549953	1366000	13953	2100
f	Facebook	David Casa	David Casa	193035580892638	Facebook	88	1	3532912	997000	11912	800
f	Facebook	Amref Health Africa - Italia		48677844864	Facebook	103	1	3494897	1229000	12997	700
f	Facebook	Socialdemokratiet		41459763029	Facebook	104	1	3458896	1146000	39044	10738
f	Facebook	Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	785	1	3455215	1075000	99115	8200
f	Facebook	Facebook Nordic	Facebook	334318366655425	Facebook	9	1	3449991	1610000	21291	4286
f	Facebook	Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	111	1	3441889	1040000	14189	800
f	Facebook	HLAS	První prezidentská	320144481956623	Facebook	259	1	3439741	862000	6468	1779
f	Facebook	Liberal Alliance	Liberal Alliance	106952222676974	Facebook	690	1	3421310	750000	29392	6132
f	Facebook	Game of Sultans		185311195624361	Facebook	7	1	3399993	1500000	75654	17802
f	Facebook	Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	37	1	3391963	1394000	8663	1800
f	Facebook	SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	61	1	3358939	1320000	6996	378
f	Facebook	Greenpeace Polska		32104614789	Facebook	61	1	3343939	1377000	7313	1768
f	Facebook	Asthma UK	Asthma UK	40952091012	Facebook	14	1	3320986	1477000	27756	6133
f	Facebook	Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	61	1	3304939	1087000	27439	6000
f	Facebook	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	7	1	3299993	1450000	17493	3800
f	Facebook	Unis pour les Droits Humains		1642871805813802	Facebook	29	1	3290971	1367000	2911	89
f	Facebook	Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	82	1	3285918	711000	8118	0
f	Facebook	Respeto LGTB		2315084548728652	Facebook	313	1	3279687	1187000	36287	1600
f	Facebook	Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	82	1	3273918	915000	9318	300
f	Facebook	Stadt Wien	Stadt Wien	110971788921077	Facebook	50	1	3243950	1139000	15850	2500
f	Facebook	Oxfam Italia		150200761667597	Facebook	280	1	3240720	943000	35920	2600
f	Facebook	China Xinhua News		338109312883186	Facebook	5	1	3199995	1500000	1152	178
f	Facebook	LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	104	1	3197896	1027000	15096	1200
f	Facebook	Greenpeace Magyarország		35634348348	Facebook	98	1	3175902	1231000	10384	525
f	Facebook	Vereniging Eigen Huis		371735371563	Facebook	15	1	3169985	1284000	24485	5400
f	Facebook	Petizioni.it		1410474395723679	Facebook	32	1	3164968	1364000	19668	4500
f	Facebook	InFacts	InFacts	678120165658753	Facebook	98	1	3148902	849000	19327	2661
f	Facebook	Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	339	1	3139661	853000	20573	4639
f	Facebook	Entega		198244400189055	Facebook	136	1	3134864	1008000	57564	12100
f	Facebook	Stichting De Noordzee		128160633899802	Facebook	41	1	3132959	1325000	19259	3900
f	Facebook	Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	113	1	3116887	960000	13287	800
