advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Comitato Firenze Possibile  Arianuova		891436877591582	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
People's Vote South West Yorkshire	#ProjectHope	537197286730782	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Roberto Pilone candidato		2236692473250040	Facebook	rw4	Last 4 weeks	1	1	49999	9999	444	89
Halton for Europe	Scientists for EU	2094630834162343	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Πατριωτική Ριζοσπαστική Ένωση	Ελευθεριος Συναδινος	2119221251680890	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Cheltenham for Europe	#ProjectHope	563769867464492	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Gloucester for Europe	#ProjectHope	258258667881008	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Lemonaid		140279586414	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Senosvadeojo		2092439350821553	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Jong VLD	Jong VLD	274353765974285	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Ryszard Petru		592575504116143	Facebook	rw4	Last 4 weeks	1	1	49999	10000	23	0
MC Hejtman		1838584856406893	Facebook	rw4	Last 4 weeks	1	1	49999	10000	19	3
Catharina Rinzema		2114625695290780	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Liverpool for Europe - Public page	#ProjectHope	521150731417045	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Chester For Europe	#ProjectHope	367188247022540	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
TNL Cluj-Napoca		182250445310218	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
UNPR Iasi		1521984658019537	Facebook	rw4	Last 4 weeks	1	1	49999	10000	20	0
Γιάννης Μαντζουράνης		2219917241402396	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Francesca Pangallo - Europee PPE		439102753559389	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Catalin Mugurel Flutur		457065044319975	Facebook	rw4	Last 4 weeks	1	1	49999	10000	104	21
Neovisni za Hrvatsku NHR - Sesvete		537156370085526	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Alessandro Fusacchia		1045017942325647	Facebook	rw4	Last 4 weeks	1	1	49999	10000	498	99
Open Vld Schoten		400453376667970	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
Warwickshire Wildlife Trust		388335639000	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
888.hu		748348838626461	Facebook	rw4	Last 4 weeks	1	1	49999	10000	154	30
Divertisment		274230616037011	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
ADP-MALIBA		506164589425501	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Agrární demokratická strana - ADS		2178756145719927	Facebook	rw4	Last 4 weeks	1	1	49999	9999	38	19
Tendring District Council	William James Lodge	173152023518465	Facebook	rw4	Last 4 weeks	1	1	49999	9999	577	115
Manolis Mavrommatis		142051289230165	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Scegli Andrea Irimia al consiglio comunale di Gela		568309503572666	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
West Lothian Courier Partners	Gordon Lindhurst MP	1176297045744954	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Alliance for Choice	Alliance for Choice	683223451811783	Facebook	rw4	Last 4 weeks	1	1	49999	9999	114	0
Luca Menesini Sindaco		549841291772737	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Stavros Kalenteridis		639221886535157	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Česká pirátská strana - Středočeský kraj		130631260290858	Facebook	rw4	Last 4 weeks	1	1	49999	10000	194	38
