advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sofie Carsten Nielsen	Sofie Carsten Nielsen	148900938515423	Facebook	m	male	DK	Denmark	10	1	25783	6552	344	87
Fødevareforbundet NNF	Van Gilse Emilia Maria	175317675860634	Facebook	m	male	DK	Denmark	5	1	25558	5112	163	32
Jesper Petersen	Jesper Petersen	287814831337164	Facebook	m	male	DK	Denmark	9	1	25541	7396	330	90
Villy Søvndal	SF	8611462388	Facebook	m	male	DK	Denmark	2	1	24843	4884	70	32
Karen Melchior	Karen Melchior, Radikale Venstre	1384921248388622	Facebook	m	male	DK	Denmark	8	1	24836	4968	305	59
Geodrilling	Andersen Soren	234290023402609	Facebook	m	male	DK	Denmark	1	1	24737	4947	331	66
Henrik Noes Piester - kandidat til Europa-Parlamentet 2019	Piester Henrik Noes	2104859779842952	Facebook	m	male	DK	Denmark	2	1	24470	4894	327	65
Hedvig Vestergaard	Vestergaard Hedvig	193445758264942	Facebook	m	male	DK	Denmark	7	1	23973	4795	320	64
Camilla Lydiksen	Lydiksen Camilla Louise	512961532554394	Facebook	m	male	DK	Denmark	1	1	23881	4776	63	31
Martin Geertsen	Geertsen Martin Raahauge	687073988036611	Facebook	m	male	DK	Denmark	9	1	23876	4433	293	53
Peter Seier Christensen	Peter Seier Christensen	1104790642968068	Facebook	m	male	DK	Denmark	8	1	22448	5808	302	80
Pia Kjærsgaard	Dansk Folkeparti	33510214383	Facebook	m	male	DK	Denmark	1	1	21887	4377	293	58
KRP.Fyn	Dyrn Gert	377070489810509	Facebook	m	male	DK	Denmark	10	1	21861	3324	205	22
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	m	male	DK	Denmark	6	1	21368	6384	152	24
Kasper Sand Kjær	Kjær Kasper Sand	223099558291164	Facebook	m	male	DK	Denmark	15	1	20944	5779	221	31
Victoria Drummond Kilpatrick	Victoria Drummond Kilpatrick	1157928984332403	Facebook	m	male	DK	Denmark	8	1	20767	6616	222	44
Mikkel Dencker	Dencker Mikkel Sjoberg Hjermind	506051112930249	Facebook	m	male	DK	Denmark	9	1	20165	3943	216	39
Ole Birk Olesen	Olesen Ole Birk	538656116640182	Facebook	m	male	DK	Denmark	2	1	19998	10000	267	133
Gunner Poulsen SF	Poulsen Gunner Kjerulf 	355083705048259	Facebook	m	male	DK	Denmark	10	1	19439	4680	113	6
Rasmus Peter Henriksen	Henriksen Rasmus Peter	1522101171358705	Facebook	m	male	DK	Denmark	6	1	18667	3734	176	31
Carl Valentin	Carl Valentin	323782467803321	Facebook	m	male	DK	Denmark	10	1	18570	3296	184	28
Odense ser Rødt / Rundfunk la Rouge	Odense ser Rødt / Rundfunk la Rouge	129940943738051	Facebook	m	male	DK	Denmark	5	1	18116	5756	242	77
Ruben Kidde	Ruben Kidde	113588132144811	Facebook	m	male	DK	Denmark	6	1	17879	3246	64	0
Serdal Benli	Benli Serdal	30196574028	Facebook	m	male	DK	Denmark	6	1	17816	3437	238	46
Stem og bestem - EU	Stem og bestem - EU with Facebook ad credits	604169540059266	Facebook	m	male	DK	Denmark	16	1	17610	2088	255	33
Lave K. Broch	Lave K. Broch	771759999508022	Facebook	m	male	DK	Denmark	7	1	16854	4493	545	100
Kim Edberg Andersen	Kim Edberg Andersen-Kristoffersen	533374726861312	Facebook	m	male	DK	Denmark	6	1	16447	4231	117	18
Jens-Henrik Kirk	Kirk Jens-Henrik	683682235062292	Facebook	m	male	DK	Denmark	3	1	15940	7322	120	24
Dan Jørgensen	Socialdemokratiet	46151445835	Facebook	m	male	DK	Denmark	5	1	15675	5722	188	59
Jens Møller Jensen - kandidat til Europa-Parlamentet	Jensen Jens Moller	411042269671603	Facebook	m	male	DK	Denmark	3	1	15315	7256	204	97
Martin Nordstjerne Rasmussen - Partiet Klaus Riskær Pedersen - liste E	Rasmussen Martin Nordstjerne	269517250609203	Facebook	m	male	DK	Denmark	3	1	14997	3000	146	26
Niels Arbøl - Folketingskandidat for Radikale Venstre	Arbol Niels Henrik Karsten	303548033422907	Facebook	m	male	DK	Denmark	10	1	14938	2152	199	28
Charlotte Green	Det Konservative Folkeparti	1895601153841380	Facebook	m	male	DK	Denmark	4	1	14748	2949	197	39
Thue Grum-Schwensen i EU	Grum-Schwensen Thue	1924899181139876	Facebook	m	male	DK	Denmark	5	1	14598	2920	195	39
Niels E. Bjerrum	Bjerrum Niels	417767098249129	Facebook	m	male	DK	Denmark	8	1	14191	2129	189	28
Mick Keller - Liberal Alliance	Mick Alexander Keller	184347308564575	Facebook	m	male	DK	Denmark	9	1	14007	3981	169	48
Jacob Jensen	Jacob Jensen	256754327854276	Facebook	m	male	DK	Denmark	10	1	13980	2097	186	28
Kristian Nørgaard Jensen	Jensen Kristian Nørgaard	1276964259011715	Facebook	m	male	DK	Denmark	8	1	13928	2487	186	33
MF Jane Heitmann	Heitmann Jane Vallebo	100190170314199	Facebook	m	male	DK	Denmark	10	1	12994	1755	196	29
Mette Poulsen	Poulsen Mette	1732891513391281	Facebook	m	male	DK	Denmark	5	1	12736	2447	170	32
En grønnere planet	Greenpeace Danmark	301647537160818	Facebook	m	male	DK	Denmark	16	1	12571	2158	86	17
Heidi Bank	Heidi Farsoe Bank	1912736882278358	Facebook	m	male	DK	Denmark	6	1	12498	3806	167	50
Peter Westermann	Westermann Peter	26531882197	Facebook	m	male	DK	Denmark	7	1	12407	1940	165	25
Dansk Sygeplejeråd	Dansk Sygeplejeråd	141531689719	Facebook	m	male	DK	Denmark	2	1	12387	2477	33	16
Astrid Krag	Astrid Krag	256203941229187	Facebook	m	male	DK	Denmark	7	1	12366	2378	255	104
JØP - Stem på klima og højt ansvarligt afkast	Demokratisk Erhvervsnetværk	290304768567003	Facebook	m	male	DK	Denmark	4	1	11853	4201	188	80
Inger Staahl Jensen i Europa-Parlamentet	Inger Staahl Jensen	586553418054920	Facebook	m	male	DK	Denmark	10	1	11746	1351	156	18
DEO - Demokrati i Europa	Rasmus Nørlem Sørensen	115737371820702	Facebook	m	male	DK	Denmark	7	1	11341	4193	356	81
