advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Landtag von Baden-Württemberg	Landtag von Baden-Württemberg	2015022955380034	Facebook	35_44	35-44	DE	Germany	1	1	224	44	4	0
Juliane Steinmüller	Anne Juliane Steinmüller	1933244040136196	Facebook	35_44	35-44	DE	Germany	1	1	223	0	22	0
SPD Oberneuland	SPD Oberneuland	1638965259687442	Facebook	35_44	35-44	DE	Germany	1	1	223	0	22	0
AfD Kreisverband Wittenberg	Anne Grünschneder	1409546049300997	Facebook	35_44	35-44	DE	Germany	1	1	216	0	21	0
Partei der Humanisten Bremen	Axel Börold	1477347775705985	Facebook	35_44	35-44	DE	Germany	1	1	207	0	20	0
DIE LINKE. Dresden	DIE LINKE. Dresden	101065286702367	Facebook	35_44	35-44	DE	Germany	1	1	205	0	20	0
Tierschutz hier	Rudolf Görg 	2309063122705796	Facebook	35_44	35-44	DE	Germany	2	1	205	0	20	0
CDU Kreisverband Ahrweiler	CDU Kreisverband Ahrweiler	400923533270421	Facebook	35_44	35-44	DE	Germany	2	1	205	0	20	0
Diakonie Schleswig-Holstein	Diakonie Schleswig-Holstein	197647650755276	Facebook	35_44	35-44	DE	Germany	1	1	205	0	20	0
Jens Bennarend 4 Europe	Jens Bennarend 	607719632994986	Facebook	35_44	35-44	DE	Germany	1	1	204	0	20	0
Landhotel Tannenhof***S		110369589038456	Facebook	35_44	35-44	DE	Germany	1	1	196	0	19	0
CDU Altona	CDU Kreisverband Altona/Elbvororte	619070778260499	Facebook	35_44	35-44	DE	Germany	1	1	193	38	3	0
Junge Union Deutschlands	Junge Union Deutschlands	46098347293	Facebook	35_44	35-44	DE	Germany	2	1	188	32	5	0
CDU Niederzissen	CDU Niederzissen	701331996576388	Facebook	35_44	35-44	DE	Germany	1	1	188	0	18	0
Bündnis 90 / Die Grünen Thüringen	BÜNDNIS 90/DIE GRÜNEN Thüringen	445962318752667	Facebook	35_44	35-44	DE	Germany	1	1	181	0	17	0
Unabhängige Liste Furtwangen	Reinhard Paul Hübner	212149755662884	Facebook	35_44	35-44	DE	Germany	1	1	176	0	17	0
CDU Wäschenbeuren	CDU Wäschenbeuren	642876995786514	Facebook	35_44	35-44	DE	Germany	1	1	175	0	17	0
SPD Berlin	SPD Berlin	134137749971478	Facebook	35_44	35-44	DE	Germany	1	1	174	0	17	0
SPD Eimsbüttel	SPD Hamburg	251214968313715	Facebook	35_44	35-44	DE	Germany	2	1	174	0	17	0
Bündnis 90 / Die Grünen Gera	Thomas Michael Wieden	260306127714114	Facebook	35_44	35-44	DE	Germany	1	1	170	0	16	0
Leon Schwarze	Leon Schwarze	1047441932065318	Facebook	35_44	35-44	DE	Germany	1	1	167	0	16	0
Bernhard Daldrup		392079271343256	Facebook	35_44	35-44	DE	Germany	1	1	162	0	16	0
AfD Fraktion Darmstadt	AfD-Darmstadt-Fraktion	1287910941236600	Facebook	35_44	35-44	DE	Germany	1	1	160	0	15	0
Sebastian Heinel - FDP	Sebastian Heinel	2786523878032361	Facebook	35_44	35-44	DE	Germany	1	1	151	0	15	0
Birgit Sippel	Birgit Sippel	319398621464329	Facebook	35_44	35-44	DE	Germany	1	1	149	0	14	0
Dr. Hagen Brauer	Dr. Hagen Brauer	2028232547252504	Facebook	35_44	35-44	DE	Germany	1	1	148	0	14	0
Knut Lunks Freie Wählervereinigung Heidelberg e.V.	Knut Henke Lunks	367647217180459	Facebook	35_44	35-44	DE	Germany	1	1	148	0	14	0
AfD Hamburg-Bergedorf	Eugen Seiler 	179649492694260	Facebook	35_44	35-44	DE	Germany	1	1	145	0	14	0
SPD Leutenbach	Pierre Orthen	1410718009143557	Facebook	35_44	35-44	DE	Germany	1	1	145	0	14	0
Alternative für Deutschland Kreisverband Rhein - Pfalz - Kreis		1190983027642287	Facebook	35_44	35-44	DE	Germany	1	1	145	0	14	0
Roland Theis	CDU Saar	792165517819607	Facebook	35_44	35-44	DE	Germany	1	1	140	0	13	0
Evgenij Renke	Evgenij Renke	1338595192842451	Facebook	35_44	35-44	DE	Germany	1	1	140	0	13	0
Karsten Hilse	Karsten Hilse 	358099231236311	Facebook	35_44	35-44	DE	Germany	1	1	134	0	13	0
CDU Lübeck	Carsten Grohmann	380533325350911	Facebook	35_44	35-44	DE	Germany	1	1	134	0	13	0
Ökologisch-Demokratischer Pressedienst Nordrhein-Westfalen	Ökologisch-Demokratische Partei (ÖDP) 	105695189827319	Facebook	35_44	35-44	DE	Germany	1	1	133	0	13	0
Martin Hohmann, MdB	Martin Hohmann	1942497819398764	Facebook	35_44	35-44	DE	Germany	1	1	133	0	13	0
Jusos Freiburg	Jusos Freiburg	452121134820659	Facebook	35_44	35-44	DE	Germany	2	1	132	0	13	0
Jusos Salzkotten	SPD Ortsverein Salzkotten	172069852836309	Facebook	35_44	35-44	DE	Germany	1	1	121	0	12	0
Tabitha Elkins- Politikerin		966605413470428	Facebook	35_44	35-44	DE	Germany	1	1	116	0	11	0
SPD-Unterbezirk Landkreis Harburg	SPD-Landkreis Harburg	131320197513529	Facebook	35_44	35-44	DE	Germany	1	1	115	0	11	0
Lars Klingbeil	Lars Klingbeil	355456486093	Facebook	35_44	35-44	DE	Germany	1	1	111	0	11	0
Andreas von Brühl	Andreas Sebastian Graf Von Brühl 	227743204230314	Facebook	35_44	35-44	DE	Germany	1	1	105	0	10	0
