advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Collision Conf		205093963028353	Facebook	braila_county	Brăila County	RO	Romania	3	1	8	0	0	0
Reprezentanța Comisiei Europene în România		272370502030	Facebook	braila_county	Brăila County	RO	Romania	1	1	7	1	0	0
BeWell Store		860819147626018	Facebook	braila_county	Brăila County	RO	Romania	1	1	7	3	0	0
OTS Solicitors		940549775965601	Facebook	braila_county	Brăila County	RO	Romania	1	1	7	3	0	0
Debating Europe	Debating Europe	132011730204757	Facebook	braila_county	Brăila County	RO	Romania	3	1	6	1	0	0
Liviu Brătescu	Liviu Brătescu	209399519151264	Facebook	braila_county	Brăila County	RO	Romania	3	1	6	2	0	0
Cristina Iurisniti Deputat USR BN		745975698891864	Facebook	braila_county	Brăila County	RO	Romania	1	1	6	1	0	0
Grupul pentru Dialog Liberal		2138733859783379	Facebook	braila_county	Brăila County	RO	Romania	1	1	6	1	0	0
Avanta Care Ltd.		577732148956414	Facebook	braila_county	Brăila County	RO	Romania	3	1	6	1	0	0
Alianța Anticorupție din România		279280712669378	Facebook	braila_county	Brăila County	RO	Romania	16	1	6	0	0	0
Retirons les enfants pauvres de leur souffrance		417775018792347	Facebook	braila_county	Brăila County	RO	Romania	1	1	6	3	0	0
Vlad Alexandrescu		468508013320444	Facebook	braila_county	Brăila County	RO	Romania	4	1	6	2	0	0
UNICEF Europe & Central Asia		373536278864	Facebook	braila_county	Brăila County	RO	Romania	2	1	6	2	0	0
Új Mezőgazdasági Magazin		116239185208469	Facebook	braila_county	Brăila County	RO	Romania	2	1	6	1	0	0
EPP Group in the European Committee of the Regions		200559876664896	Facebook	braila_county	Brăila County	RO	Romania	3	1	6	1	0	0
Productie-eoliene.ro		1204249752940235	Facebook	braila_county	Brăila County	RO	Romania	2	1	6	3	0	0
Ecomteam		273706319447059	Facebook	braila_county	Brăila County	RO	Romania	3	1	6	1	0	0
Marius Bodea	Marius Bodea	1514760912172050	Facebook	braila_county	Brăila County	RO	Romania	1	1	5	1	0	0
PNL Suceava		1557562174501195	Facebook	braila_county	Brăila County	RO	Romania	3	1	5	2	0	0
Departamentul pentru Ape și Păduri	Partidul Social Democrat	339954586863928	Facebook	braila_county	Brăila County	RO	Romania	1	1	5	2	0	0
Stop AAAS Ro		1640996242671731	Facebook	braila_county	Brăila County	RO	Romania	4	1	5	0	0	0
Romania este si a mea.		801846033531555	Facebook	braila_county	Brăila County	RO	Romania	1	1	5	2	0	0
Wilfried Martens Centre for European Studies		187868097915825	Facebook	braila_county	Brăila County	RO	Romania	1	1	5	2	0	0
Mai Bine		360605380321	Facebook	braila_county	Brăila County	RO	Romania	1	1	5	1	0	0
GRUNDIG		1508163162762486	Facebook	braila_county	Brăila County	RO	Romania	14	1	4	1	0	0
Cornel Zainea		1238823992859020	Facebook	braila_county	Brăila County	RO	Romania	2	1	4	1	0	0
Gabriel Waspusch		2260140687565360	Facebook	braila_county	Brăila County	RO	Romania	1	1	4	2	0	0
Adrian Dohotaru		379239529220815	Facebook	braila_county	Brăila County	RO	Romania	3	1	4	0	0	0
Daniel Fenechiu		125414364282605	Facebook	braila_county	Brăila County	RO	Romania	2	1	4	1	0	0
EU Neighbourhood & Enlargement		142375212503142	Facebook	braila_county	Brăila County	RO	Romania	2	1	4	2	0	0
Eugen Țapu-Nazare		276092909160685	Facebook	braila_county	Brăila County	RO	Romania	1	1	4	0	0	0
