advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Mága Zoltán hegedűművész		164762586881530	Facebook	100_1k	100 - 1k	RO	Romania	1	1	199998	100000	309	154
Ion ȘTEFAN	ETIS Design SRL	1653699758248627	Facebook	100_1k	100 - 1k	RO	Romania	2	1	199998	100000	419	210
ALDE - Partidul Alianta Liberalilor si Democratilor Constanta	Dumio	1573385822939865	Facebook	100_1k	100 - 1k	RO	Romania	5	1	193040	68608	404	144
USR Galați	Uniunea Salvați România	174434106304018	Facebook	100_1k	100 - 1k	RO	Romania	9	1	190718	39540	438	87
Consiliul Național PSD	Partidul Social Democrat	428923027871330	Facebook	100_1k	100 - 1k	RO	Romania	2	1	186085	93043	97	19
Partidul Social Democrat - Departamentul pentru românii de pretutindeni	Partidul Social Democrat	315931009106788	Facebook	100_1k	100 - 1k	RO	Romania	2	1	186085	93043	97	19
Ionel Bogdan	Rus Alexandra	1449284915381234	Facebook	100_1k	100 - 1k	RO	Romania	8	1	186082	37217	390	78
USR Sector 3	USR Sector 3	1658924257659048	Facebook	100_1k	100 - 1k	RO	Romania	7	1	182630	55382	1016	266
Adrian Miuțescu	ETIS Design	1992712767649895	Facebook	100_1k	100 - 1k	RO	Romania	3	1	169780	77913	307	124
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	100_1k	100 - 1k	RO	Romania	2	1	166204	61470	390	78
European Greens	European Greens	141366725876424	Facebook	100_1k	100 - 1k	RO	Romania	1	1	164660	82330	410	82
USR Teleorman	Partidul "Uniunea Salvati Romania"	694605284013356	Facebook	100_1k	100 - 1k	RO	Romania	5	1	162784	60462	243	48
Dreapta Liberală - DL	Dreapta Liberala	1881461575305499	Facebook	100_1k	100 - 1k	RO	Romania	4	1	150065	46077	869	237
Costel Alexe	ETIS Design	182546041796641	Facebook	100_1k	100 - 1k	RO	Romania	2	1	146520	73260	258	114
USR Filiala Brad	Uniunea Salvați România - USR	239653583422453	Facebook	100_1k	100 - 1k	RO	Romania	2	1	146520	73260	258	114
USR Filiala Județeană Hunedoara	Uniunea Salvați România - USR	2380746071976634	Facebook	100_1k	100 - 1k	RO	Romania	3	1	146519	59304	307	124
USR Caraș-Severin	Uniunea Salvați România	1556903897946498	Facebook	100_1k	100 - 1k	RO	Romania	6	1	144214	44195	292	58
USR Vaslui	Uniunea Salvați România	526411640878009	Facebook	100_1k	100 - 1k	RO	Romania	6	1	144214	44195	292	58
PNL Maramureş	Rus Alexandra	1465792233677604	Facebook	100_1k	100 - 1k	RO	Romania	8	1	127930	28378	390	78
PSD Prahova	Georgescu Andrei-Theodor	1585243028421258	Facebook	100_1k	100 - 1k	RO	Romania	7	1	125605	27913	341	68
USR Sector 1	Uniunea Salvați România	885119281568843	Facebook	100_1k	100 - 1k	RO	Romania	5	1	124431	26282	404	144
USR Târgu-Lăpuș	USR Maramureș	660431470978348	Facebook	100_1k	100 - 1k	RO	Romania	2	1	123259	54652	258	114
USR Călan	Uniunea Salvați România - USR	1942492232464096	Facebook	100_1k	100 - 1k	RO	Romania	2	1	123259	54652	258	114
Iulian Lorincz	Uniunea Salvați România - USR	924354934394338	Facebook	100_1k	100 - 1k	RO	Romania	6	1	120953	25586	292	58
USR Mehedinți	Uniunea Salvați România	1763484467225604	Facebook	100_1k	100 - 1k	RO	Romania	5	1	116301	23260	243	48
USR Bistrița-Năsăud	Stan Calin	1097122383697273	Facebook	100_1k	100 - 1k	RO	Romania	8	1	111648	27913	390	78
PSD Cluj 2016		1590115447947153	Facebook	100_1k	100 - 1k	RO	Romania	1	1	107095	53547	562	112
USR Suceava	Uniunea Salvați România	506661762854386	Facebook	100_1k	100 - 1k	RO	Romania	1	1	107095	53547	562	112
Florica Chereches	ETIS Design	425879067570544	Facebook	100_1k	100 - 1k	RO	Romania	1	1	99999	50000	209	105
Marilen Gabriel Pirtea	ETIS Design	446198175563566	Facebook	100_1k	100 - 1k	RO	Romania	1	1	99999	50000	209	105
Cupşa Ioan	ETIS Design	582397865304291	Facebook	100_1k	100 - 1k	RO	Romania	1	1	99999	50000	209	105
