advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partia Wolność	KWW Konfederacja KORWiN Braun Liroy Narodowcy	757876837622345	Facebook	w020	Week 20	PL	Poland	3	1	134116	58499	195	71
Czesław Siekierski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	467184786631576	Facebook	w020	Week 20	PL	Poland	9	1	129792	27799	275	23
Andrzej Kisielewicz	KW Prawo i Sprawiedliwość	1550061501790606	Facebook	w020	Week 20	PL	Poland	89	1	124902	9000	2049	0
Stanisław Żmijan	MarkNeting Sp. z o.o.	436755540466865	Facebook	w020	Week 20	PL	Poland	16	1	121555	26185	232	0
Polska Fundacja im. Roberta Schumana	Polska Fundacja im. Roberta Schumana	150617698324166	Facebook	w020	Week 20	PL	Poland	23	1	118353	26075	513	0
Krzysztof Bosak	Konfederacja KORWiN Braun Liroy Narodowcy	141833139301	Facebook	w020	Week 20	PL	Poland	65	1	112935	12000	1497	0
Bartosz Arłukowicz	KKW Koalicja Europejska PO PSL SLD .N Zieloni	152299864806918	Facebook	w020	Week 20	PL	Poland	15	1	110904	31516	288	0
Michał Korolko - profil publiczny	KKW Koalicja Europejska PO PSL SLD .N Zieloni (Michał Korolko)	334123340547325	Facebook	w020	Week 20	PL	Poland	10	1	110154	29232	252	23
Grzegorz Tobiszowski	KW Prawo i Sprawiedliwość	146655395680362	Facebook	w020	Week 20	PL	Poland	3	1	109998	47500	255	104
K MAG	K MAG	317722036029	Facebook	w020	Week 20	PL	Poland	3	1	109997	22000	69	4
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	w020	Week 20	PL	Poland	2	1	106202	51198	111	0
Konrad Berkowicz		140962469393020	Facebook	w020	Week 20	PL	Poland	3	1	99997	22999	138	18
Jarosław Sellin - oficjalna strona	Cityboard Media Sp. z o.o.	251126394921117	Facebook	w020	Week 20	PL	Poland	2	1	99997	19999	232	46
