advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Νέα Πολιτική Κίνημα Δημοκρατικής Κοινωνικής Αναθέσμισης		312869456190675	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Deutschland.de		31292782350	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
AtlasInfo		10150133693605727	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
African Union USA		507866149701811	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
MODEL'Officiel		242482223343726	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
VICE Italia		1392630034386716	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Charles Goerens		441313569220539	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
The Charity for Civil Servants		216978845071240	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Online Lingo		558092914573994	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Pop Trash Inc.		347523108751462	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Palm Youth		307998139898557	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Lifestyle Living by Kristina Horning, Realtor		620683444647747	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
From Day One Conference		508582022871836	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
ITC's Market Analysis Tools		307619925937720	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
A Spiritual Journey with Jesus, The Divine Mercy		130799766943475	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Africain Lion Awards		1882340332042216	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
IUF Uniting Food, Farm and Hotel Workers World-Wide		289880965943	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Dorje Shugden		124479407593558	Facebook	d078	2019-03-19	FR	France	2	1	0	0	0	0
Maître Hacen Boukhelifa		177343832347500	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Texas West African Chamber of Commerce - TWACC		2242642969334390	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Knovva Academy		1619172795053683	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
O que eu li hoje		2119777138068172	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Beyond Vision Aerial Filmmaking		112170292461027	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Deltetto 1953		363027513800070	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
هوای پاک برای ایران  Clean Air For Iran		1577670342523543	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Nelson Mandela World Human Rights Moot Court Competition		492134250862044	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Civitas Maxima		1397642550542919	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Dr-Amede Koffi Kouakou		808119029346832	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Deco your life		347820246060480	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Smart Water Magazine		634705100258374	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
SAGE Publishing		121340691244235	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Gentle Dental Clinic Crete		387716078000099	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
