advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Raluca Turcan	ETIS Design	360184320712594	Facebook	olt_county_RO	Olt County, Romania	5	1	16580	7991	12	3
PRO România	Networld IT&C SRL	2177244962290894	Facebook	olt_county_RO	Olt County, Romania	20	1	16406	5107	35	9
Litere.net	litere.net	1504323906337545	Facebook	olt_county_RO	Olt County, Romania	1	1	16305	6522	6	3
Declic	Declic	686190454826244	Facebook	olt_county_RO	Olt County, Romania	2	1	15950	6763	7	2
Greenpeace Romania	Greenpeace Romania	291132089193	Facebook	olt_county_RO	Olt County, Romania	21	1	15715	5006	29	5
Viorel Catarama	Dreapta Liberala	795022763862618	Facebook	olt_county_RO	Olt County, Romania	4	1	12769	6384	35	11
Rares Bogdan	ETIS Design	204397909629079	Facebook	olt_county_RO	Olt County, Romania	1	1	12595	5038	5	2
Raluca Amariei	USR Sibiu	183087692172986	Facebook	olt_county_RO	Olt County, Romania	7	1	10197	4607	65	14
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	olt_county_RO	Olt County, Romania	3	1	10104	3691	21	4
Eugen Tomac	Amerisoft	494469087244449	Facebook	olt_county_RO	Olt County, Romania	7	1	10035	4524	11	4
Gregoriana Tudoran	Tudoran Gregoriana Carmen	1985293741779690	Facebook	olt_county_RO	Olt County, Romania	10	1	9239	1847	13	2
Pavel Emilian		1557836147771248	Facebook	olt_county_RO	Olt County, Romania	9	1	8371	2639	14	3
Daniel Buda	ETIS Design	220579784732993	Facebook	olt_county_RO	Olt County, Romania	2	1	8274	4137	6	2
George Simion	George Simion	2212856535602171	Facebook	olt_county_RO	Olt County, Romania	11	1	7942	3154	29	6
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare	Partidul Social Democrat	2006803969624108	Facebook	olt_county_RO	Olt County, Romania	1	1	7904	3162	1	0
Dacian Cioloş	PLUS	107543802616247	Facebook	olt_county_RO	Olt County, Romania	1	1	7822	3129	16	3
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	olt_county_RO	Olt County, Romania	15	1	7795	3286	15	5
Departamentul pentru Turism - Partidul Social Democrat	Partidul Social Democrat	339973510194748	Facebook	olt_county_RO	Olt County, Romania	1	1	7772	3109	1	0
