location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
haskovo_province_BG	Haskovo Province, Bulgaria	39	17	20536	7366	115	0
tavastia_proper_FI	Tavastia Proper, Finland	50	31	20521	5176	264	27
viljandi_county_EE	Viljandi County, Estonia	42	9	19183	4227	294	10
montana_province_BG	Montana Province, Bulgaria	39	16	19142	7185	99	6
viana_do_castelo_district_PT	Viana do Castelo District, Portugal	19	9	18610	6944	43	12
lapland_finland_FI	Lapland (Finland), Finland	46	32	18525	4746	378	28
cavan_IE	Cavan, Ireland	26	15	18518	6511	102	7
pohjois_savo_FI	Pohjois-Savo, Finland	54	32	17886	4661	380	25
etela_savo_FI	Etelä-Savo, Finland	49	31	17504	4123	302	27
ilfov_county_RO	Ilfov County, Romania	57	33	17503	5934	31	7
paijat_hame_FI	Päijät-Häme, Finland	44	30	17422	4749	218	24
lika_senj_county_HR	Lika-Senj County, Croatia	74	26	17079	5360	82	2
kymenlaakso_FI	Kymenlaakso, Finland	43	27	16974	4512	232	22
central_ostrobothnia_FI	Central Ostrobothnia, Finland	45	30	16220	3747	167	17
castelo_branco_district_PT	Castelo Branco District, Portugal	18	8	15660	5682	38	9
pernik_province_BG	Pernik Province, Bulgaria	39	17	15629	5868	75	5
roscommon_IE	Roscommon, Ireland	33	17	15612	6112	136	9
vila_real_district_PT	Vila Real District, Portugal	18	8	15204	5391	39	8
