advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
MBRC		1853495178284518	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	49999	498	99
Games area		2075127812758129	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	50000	444	89
ABN AMRO		206592029351928	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	50000	499	99
Free a Girl		147590048618741	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	49999	444	89
Vandebron		263935850440177	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	49999	998	499
Shopwala Europe		393367314768104	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	49999	889	445
Vereniging Eigen Huis		371735371563	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	49999	498	99
Dopper		149978658404973	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99997	49999	498	99
overbevolking.nl - Club van Tien Miljoen		481189648571584	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99997	49999	498	99
ExxonMobil		925007000949719	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99996	49998	444	89
		0	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99996	49998	444	89
Happiness Initiation		642874789462468	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99995	49998	326	65
NPO Zapp		205247699486388	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99995	49998	498	99
Dansk.nl		39128216655	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99993	49997	498	99
Van Hall Larenstein		234952503230870	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99883	49942	498	99
European Greens		141366725876424	Facebook	50k_100k	50k - 100k	NL	Netherlands	10	1	87228	43614	425	84
Guardian Weekly		64525551258	Facebook	50k_100k	50k - 100k	NL	Netherlands	4	1	51670	25835	298	59
Klang der Solidarität		385076005313967	Facebook	50k_100k	50k - 100k	NL	Netherlands	11	1	49544	24772	59	4
Wholesome Culture		1664959567149320	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	17663	8831	34	4
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	50k_100k	50k - 100k	NL	Netherlands	13	1	16322	8161	80	16
Save The Seas		2203608429682203	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	11888	5944	11	0
Markets.com		478063878928667	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	10845	5422	56	16
Oxford Academic (Oxford University Press)		188890111132385	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	10774	5387	95	47
Berlin International University of Applied Sciences		753347444715991	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	10326	5163	51	10
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	50k_100k	50k - 100k	NL	Netherlands	3	1	9477	4739	44	8
Humble Household		1746853745395190	Facebook	50k_100k	50k - 100k	NL	Netherlands	4	1	9428	4714	39	12
I Hate Bernie Sanders		105344429817836	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	8674	4337	59	11
Dr. Ayça KAYA		312328182783290	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	8084	4042	40	8
FontBundles.net		1653056048283270	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	6476	3238	37	7
Sperry		171380169620212	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	5120	2560	5	0
Advertising Week Europe		957474261104635	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	4676	2338	41	20
PRTG Network Monitor		142261582465552	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	4315	2157	21	4
VoteWatch Europe		355087424564148	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	4310	2155	27	9
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	50k_100k	50k - 100k	NL	Netherlands	5	1	3989	1994	7	0
Drimee Germany		678265145905178	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	3834	1917	17	3
Ibiza Farm		1629229957352206	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	3751	1875	11	1
Kenneth Flathaug Photography		125745308299292	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	3341	1670	1	0
γυρίζουμε		278308089460720	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	3262	1631	24	11
Industria		252084118203234	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2914	1457	3	0
DigitalOcean		149515305173840	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2797	1398	24	12
Council of the European Union		147547541961576	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	2762	1381	13	2
Petra De Sutter		372776579930604	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2593	1296	12	2
A Solution to Plastic Pollution - First International Online Summit		1098001547034272	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	2486	1243	12	2
Pela Case		119283008140727	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2391	1195	7	1
Le Monde		14892757589	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	2352	1176	2	0
Peter Mertens	PVDA	236485149843971	Facebook	50k_100k	50k - 100k	NL	Netherlands	12	1	2248	1124	22	4
Talking Europe		316028505828375	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2228	1114	11	2
USR Diaspora	Uniunea Salvați România - USR	1793510380925494	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2212	1106	2	0
Verv		560545637307176	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2130	1065	9	1
Tuxy		870667836405958	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	2116	1058	7	1
