audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	BE	Belgium	Koen Geens	CD&V	294055357407926	Facebook	36	1	23351	7650	240	8
f25_34	female (25-34)	BE	Belgium	Européens Sans Frontières		668031516635463	Facebook	8	1	23336	9387	42	10
f25_34	female (25-34)	BE	Belgium	Democracy Alive		277008469606499	Facebook	5	1	22952	4889	163	25
f25_34	female (25-34)	BE	Belgium	Pritty Kaur		413843202368855	Facebook	21	1	22012	6581	102	12
f25_34	female (25-34)	BE	Belgium	Greens/EFA in the European Parliament		150527751674751	Facebook	27	1	21675	5138	138	16
f25_34	female (25-34)	BE	Belgium	Europahuis Ryckevelde	Ryckevelde vzw	119449038070827	Facebook	5	1	21552	4310	76	8
f25_34	female (25-34)	BE	Belgium	European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	2	1	21430	10715	106	21
f25_34	female (25-34)	BE	Belgium	Axel Ronse	N-VA	2375576969141695	Facebook	3	1	21213	7506	74	10
f25_34	female (25-34)	BE	Belgium	L'affaire climat	Affaire Climat asbl	874181082603060	Facebook	15	1	21202	7505	170	0
f25_34	female (25-34)	BE	Belgium	Sofian El Sayd - 61e sur la liste régionale du PS bruxellois		1951525111537961	Facebook	4	1	20942	9054	75	13
f25_34	female (25-34)	BE	Belgium	Rise for Climate Belgium: Citizen Mobilization to save Humanity		458512257969541	Facebook	2	1	20774	10222	111	20
f25_34	female (25-34)	BE	Belgium	ABVV-Metaal		736539056400845	Facebook	3	1	20690	9833	22	0
f25_34	female (25-34)	BE	Belgium	Karl Vanlouwe	Nieuw-Vlaamse Alliantie	442565332850618	Facebook	2	1	20605	8388	83	14
f25_34	female (25-34)	BE	Belgium	VICE Belgium		801881059889650	Facebook	2	1	20223	10111	100	20
f25_34	female (25-34)	BE	Belgium	Maggie De Block	Maggie De Block	1410219772556421	Facebook	20	1	19890	6568	217	8
f25_34	female (25-34)	BE	Belgium	Babeyes		1015654268572910	Facebook	4	1	19620	4650	130	0
f25_34	female (25-34)	BE	Belgium	Kim De Witte	PVDA	315662412174661	Facebook	12	1	19539	4820	184	35
f25_34	female (25-34)	BE	Belgium	Vincent De Wolf	Vincent Gilles De Wolf	399983396831282	Facebook	11	1	19364	4078	146	0
f25_34	female (25-34)	BE	Belgium	Kristof Hendrickx		125105154858140	Facebook	1	1	19072	9536	95	47
f25_34	female (25-34)	BE	Belgium	Wholesome Culture		1664959567149320	Facebook	7	1	19068	8435	46	8
f25_34	female (25-34)	BE	Belgium	NN		765223566868464	Facebook	6	1	19010	3986	199	35
f25_34	female (25-34)	BE	Belgium	Benjamin Dalle	Benjamin Dalle	232597487340084	Facebook	17	1	18818	3606	427	16
f25_34	female (25-34)	BE	Belgium	Amelie Pans		339831539409950	Facebook	12	1	18784	3890	119	0
f25_34	female (25-34)	BE	Belgium	Vrouwenraad		353049508109330	Facebook	2	1	18703	3740	45	0
f25_34	female (25-34)	BE	Belgium	Les Congolais Debout		1405739032827831	Facebook	5	1	18638	5667	51	3
f25_34	female (25-34)	BE	Belgium	Chroniques Du Golfe		2196850910357980	Facebook	20	1	18344	6687	39	0
f25_34	female (25-34)	BE	Belgium	Maxime Hardy	Maxime Marc C Hardy	1160832417389494	Facebook	7	1	18186	4225	166	26
f25_34	female (25-34)	BE	Belgium	Sigefroid Van Haelst		426942467817318	Facebook	3	1	18148	3629	35	0
f25_34	female (25-34)	BE	Belgium	JONG CD&V	JONG CD&V	638247042856542	Facebook	8	1	18004	4198	56	5
f25_34	female (25-34)	BE	Belgium	Christian Leysen	Christian Leysen	403864600161608	Facebook	12	1	17903	6346	266	52
f25_34	female (25-34)	BE	Belgium	EPP Group in the European Parliament		291699857688	Facebook	5	1	17852	3593	177	35
f25_34	female (25-34)	BE	Belgium	CNCD-11.11.11		118510721519982	Facebook	3	1	17714	4304	49	0
f25_34	female (25-34)	BE	Belgium	Croix-Rouge de Belgique		209210135757984	Facebook	1	1	17570	8785	87	17
f25_34	female (25-34)	BE	Belgium	Michael Freilich - 5de plaats Kamer		609777409464271	Facebook	11	1	17536	5165	139	24
f25_34	female (25-34)	BE	Belgium	sp.a Limburg	sp.a Limburg	885074558184212	Facebook	22	1	17498	4550	94	1
f25_34	female (25-34)	BE	Belgium	Guardian Weekly		64525551258	Facebook	12	1	17494	7749	86	14
f25_34	female (25-34)	BE	Belgium	sp.a Vlaams-Brabant	sp.a	299844037256	Facebook	3	1	17455	3449	54	0
f25_34	female (25-34)	BE	Belgium	Koen Van den Heuvel	Koen Van den Heuvel	1953990651532264	Facebook	34	1	17454	5453	334	0
f25_34	female (25-34)	BE	Belgium	VMware		6975960973	Facebook	3	1	17407	8703	47	9
f25_34	female (25-34)	BE	Belgium	An Capoen	Nieuw-Vlaamse Alliantie	128105340557056	Facebook	4	1	17063	3412	63	6
f25_34	female (25-34)	BE	Belgium	La maison du bambou		363210450932797	Facebook	1	1	16911	3382	168	33
f25_34	female (25-34)	BE	Belgium	Alexandra D'Archambeau	D'Archambeau Alexandra Sylvie O	213637018831903	Facebook	16	1	16483	4553	206	0
f25_34	female (25-34)	BE	Belgium	Lieselotte Thys	Thys Lieselotte	1060715860647129	Facebook	4	1	16352	3254	118	16
f25_34	female (25-34)	BE	Belgium	Brecht Vermeulen	Nieuw-Vlaamse Alliantie	167165610745178	Facebook	5	1	16230	3396	36	0
f25_34	female (25-34)	BE	Belgium	Eneco Belgium		155682534507894	Facebook	17	1	16117	4344	231	2
f25_34	female (25-34)	BE	Belgium	Lara Thommès - 20e sur liste PS à la Région bruxelloise	Lara Julie M.Thommes	2176100615739401	Facebook	2	1	16019	3203	89	14
f25_34	female (25-34)	BE	Belgium	Brussels		114885670293	Facebook	2	1	15927	3185	31	0
f25_34	female (25-34)	BE	Belgium	Peter Van Rompuy	CD&V	257794051588457	Facebook	19	1	15851	7483	185	0
f25_34	female (25-34)	BE	Belgium	The Belgian Pride		348580571827433	Facebook	2	1	15795	3159	157	31
f25_34	female (25-34)	BE	Belgium	Ecolo	Ecolo	38296327361	Facebook	20	1	15393	4244	213	0
f25_34	female (25-34)	BE	Belgium	LIFE		167060196653670	Facebook	46	1	15249	3211	89	0
f25_34	female (25-34)	BE	Belgium	Bond Beter Leefmilieu		143447890251	Facebook	6	1	15205	3041	33	0
f25_34	female (25-34)	BE	Belgium	Jean-Jacques Flahaux		486153524822322	Facebook	4	1	15029	3629	139	27
f25_34	female (25-34)	BE	Belgium	Katrien Houtmeyers	Nieuw-Vlaamse Alliantie	176955806294532	Facebook	2	1	14864	7432	79	13
