advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HDZ Velika Gorica		352111018230121	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	332	0	29	0
LegacyFx		966644110116765	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	325	162	0	0
Direktno.hr		1483897331868092	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	323	161	3	0
Cecilia Malmström		258966159416	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	322	129	0	0
European Youth		130456876990360	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	302	151	0	0
Perseus Apparel		1112003955624720	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	10	1	290	60	0	0
Solar Impulse		187539851277198	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	277	111	0	0
HSP dr. Ante Starčević - GRAD ZADAR		340028800056681	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	274	137	2	0
Diana Topčić-Rosenberg		1702271996513206	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	271	54	4	0
Hrvatska akademska zajednica		355203304814553	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	261	46	7	0
Subversive Festival		316666381719876	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	261	130	2	0
Pokret Protiv Siromaštva Starijih Osoba		1023996364318823	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	242	48	4	0
Središnja i sjeverozapadna Hrvatska		1940136549343533	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	241	48	4	0
VoxFeminae		138026879558920	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	238	119	2	0
On Your Sleeve	ON YOUR SLEEVE	247943179229148	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	14	1	232	77	0	0
DRH Lindersvold		512374155442078	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	226	89	0	0
MEDAL display		1490537417901414	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	219	43	0	0
Atlantic Forum		616121875501729	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	210	42	0	0
Mladen Kešer		1628254447458163	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	210	42	3	0
Witch House		509420835875357	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	195	39	3	0
Istra, Primorje, Lika i Gorski kotar		201777757190279	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	192	38	3	0
Guardian Weekly		64525551258	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	188	73	0	0
Kandidacijska lista "Filozofski je naš"		920900298039941	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	179	35	3	0
ALDE CoR - Liberals and Democrats in the European Committee of the Regions		1033827283344362	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	178	35	1	0
Pametno Varaždin	Carev Dario	1814540012096003	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	172	34	3	0
Parlametar	Gong	681017252285075	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	169	29	4	0
