country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	Debreceni Fidelitas		183844765498	Facebook	1	1	49999	10000	30	15
HU	Hungary	Utolsó óra - Vészhelyzet az oktatásban		993061287455061	Facebook	1	1	49999	10000	30	15
HU	Hungary	Miskolci Fidesz		1087144998053243	Facebook	1	1	49999	10000	154	30
HU	Hungary	Momentum Eger		2123879007657024	Facebook	1	1	49999	10000	15	3
HU	Hungary	UPC Magyarország		184177601611829	Facebook	1	1	49999	9999	30	15
HU	Hungary	Kommentár folyóirat		164978926850719	Facebook	1	1	49999	10000	30	15
HU	Hungary	Szimpozion Egyesület		114736151928312	Facebook	1	1	49999	10000	30	15
HU	Hungary	PSZ Komárom-Esztergom megyei Szervezete		637004343385783	Facebook	1	1	49999	10000	154	30
HU	Hungary	DK Nyíregyháza		Demokratikus Koalíció Sz-Sz-B Megye 1-2.	1595121247382392	Facebook	1	1	49998	10000	154	30
HU	Hungary	Nemzeti Sport Online		303640261940	Facebook	1	1	49998	10000	15	3
HU	Hungary	Trombitás Kristóf - Mauri partizán		503614639975773	Facebook	1	1	49998	9999	30	15
HU	Hungary	Csöbör Katalin		803718556320915	Facebook	1	1	49994	9999	154	30
HU	Hungary	Világgazdaság		109503892404998	Facebook	1	1	49985	9997	154	30
HU	Hungary	Hubay György		875007489333250	Facebook	1	1	49981	9996	154	30
HU	Hungary	Centre for Euro-Atlantic Integration and Democracy		260922190745812	Facebook	1	1	49962	9992	98	0
HU	Hungary	VINNIA		325664361187493	Facebook	5	1	48694	21478	89	0
HU	Hungary	G7.hu		735736549957756	Facebook	3	1	47125	9058	3	1
HU	Hungary	Create.Refresh	Create.Refresh	1736881926615141	Facebook	4	1	45033	19950	124	21
HU	Hungary	Intersolar		124579277563150	Facebook	1	1	42158	21079	105	21
HU	Hungary	Herczeg Tamás	Nagy Sándor	292787761246129	Facebook	8	1	40992	11000	108	21
HU	Hungary	Roma Sajtóközpont - Roma Press Center		432303270141214	Facebook	4	1	39995	19999	123	61
HU	Hungary	A kiló nem százat jelent.		172924162721825	Facebook	7	1	39993	11000	123	34
HU	Hungary	Europe Together		140105536131109	Facebook	1	1	39521	19761	197	39
HU	Hungary	Minority SafePack		532492010145546	Facebook	10	1	36729	9399	212	0
HU	Hungary	Alliance of Conservatives and Reformists in Europe	ACRE 	134931073377586	Facebook	1	1	35686	17843	35	0
HU	Hungary	Harrach Péter	Országgyűlés Hivatala KDNP frakció	206160682739388	Facebook	4	1	34996	16000	61	12
HU	Hungary	MSZP Nyíregyháza	MSZP	740771415954618	Facebook	7	1	30993	6000	41	10
HU	Hungary	Új Mezőgazdasági Magazin		116239185208469	Facebook	4	1	30265	6053	4	1
HU	Hungary	Zsúrpubi		1103283443086224	Facebook	6	1	29994	6000	92	18
HU	Hungary	Liberálisok -  Békéscsaba	Liberálisok - Békéscsaba	524197977656889	Facebook	4	1	29987	11996	61	12
HU	Hungary	Levesbe az adók 75%-val Párt	Ecsenyi Àron	311215062914930	Facebook	8	1	28991	7999	58	14
HU	Hungary	Jobbik XIII. kerület	Jobbik Magyarországért Mozgalom	534847500023972	Facebook	5	1	25995	8000	78	25
HU	Hungary	Szegedi Jobbik	Jobbik Magyarországért Mozgalom	234830648505	Facebook	3	1	24997	11000	77	34
HU	Hungary	Bányai Gábor országgyűlési képviselő	Szilágyi Pál Ferenc	551672728204311	Facebook	3	1	24997	11000	46	9
HU	Hungary	Századvég		268042136672212	Facebook	3	1	24997	11000	61	21
HU	Hungary	Nacsa Lőrinc	Nacsa Lőrinc	959798297495473	Facebook	3	1	24996	10999	46	9
HU	Hungary	Climate-KIC		403370709744295	Facebook	2	1	24224	10205	58	25
HU	Hungary	Kreitler-Sas Máté		1499582216806964	Facebook	6	1	22994	7000	54	12
HU	Hungary	ALDE Group – Liberals and Democrats in the European Parliament		123910440019	Facebook	3	1	22632	10525	75	14
HU	Hungary	Coconut Bowls		451945511677873	Facebook	68	1	22489	5967	110	0
HU	Hungary	LMP Tolna megye		507090339333245	Facebook	5	1	21995	7000	37	8
HU	Hungary	Tuxy		870667836405958	Facebook	3	1	21590	8829	117	24
HU	Hungary	European Young Leaders - EYL40		227054030686626	Facebook	1	1	21490	4298	42	0
HU	Hungary	Erasmus Student Network		25226723130	Facebook	2	1	21224	10612	11	2
HU	Hungary	DRH Lindersvold		512374155442078	Facebook	3	1	20663	8650	58	11
HU	Hungary	Jobbik Cegléd		890355257670485	Facebook	2	1	19998	10000	46	18
HU	Hungary	Életrevalók - Precious Plastic Para-fitt		470585772980098	Facebook	2	1	19998	10000	30	6
HU	Hungary	CédrusNet  Kecskemét		615244665483197	Facebook	2	1	19998	10000	309	61
HU	Hungary	Farkas Éva Erzsébet	Nagy Dániel	270741976461920	Facebook	3	1	19997	7000	46	9
HU	Hungary	VértesNet		224862494206570	Facebook	2	1	19997	9999	30	6
HU	Hungary	Dr. Gyüre Csaba	Országgyűlés Hivatala Jobbik Frakció	1637701613185719	Facebook	2	1	19997	9999	46	18
HU	Hungary	Márki-Zay Péter		142116653162328	Facebook	3	1	19997	7000	49	20
HU	Hungary	M3 Autópark		173285469392230	Facebook	2	1	19995	9998	197	0
HU	Hungary	Wholesome Culture		1664959567149320	Facebook	4	1	18693	8836	61	11
HU	Hungary	Cecilia Malmström		258966159416	Facebook	1	1	17879	7151	35	17
HU	Hungary	European Jewish Association		853930504670255	Facebook	1	1	17429	8714	43	8
HU	Hungary	Fazakas Attila	Fazakas Attila	1580170602061811	Facebook	3	1	15997	6000	32	6
HU	Hungary	Jobbik Ajkai Szervezete		507366116378406	Facebook	3	1	15997	6000	49	20
HU	Hungary	Partizán	Gulyás Márton Ferenc	1406386486355924	Facebook	4	1	15996	3000	10	4
HU	Hungary	Jobbik Törökszentmiklós	Jobbik Magyarországért Mozgalom	911053782386506	Facebook	7	1	15993	5000	36	16
HU	Hungary	MSZP Sopron	MSZP	169913829821276	Facebook	3	1	15943	5989	47	18
HU	Hungary	European Youth		130456876990360	Facebook	5	1	15275	7602	61	11
