advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Pioneers of Change		108885262509466	Facebook	carinthia_AT	Carinthia, Austria	1	1	94	18	1	0
McKinsey & Company Karriere		484121271605387	Facebook	carinthia_AT	Carinthia, Austria	1	1	93	18	0	0
WIR MACHEN DAS		143804859326199	Facebook	carinthia_AT	Carinthia, Austria	1	1	92	46	0	0
DAS BÜNDNIS für Menschenrechte & Zivilcourage		243603755692541	Facebook	carinthia_AT	Carinthia, Austria	1	1	91	18	1	0
Erasmus Student Network		25226723130	Facebook	carinthia_AT	Carinthia, Austria	2	1	91	45	0	0
World Food Programme		28312410177	Facebook	carinthia_AT	Carinthia, Austria	4	1	91	19	0	0
Gaia		182073298490036	Facebook	carinthia_AT	Carinthia, Austria	3	1	89	42	0	0
USR Diaspora	USR Diaspora	1793510380925494	Facebook	carinthia_AT	Carinthia, Austria	2	1	87	41	0	0
GRAD		677104066011996	Facebook	carinthia_AT	Carinthia, Austria	1	1	87	17	1	0
European Commission		107898832590939	Facebook	carinthia_AT	Carinthia, Austria	4	1	86	43	0	0
Jah Happy Life		1744645559132653	Facebook	carinthia_AT	Carinthia, Austria	1	1	86	17	0	0
smarticular.net		743253152374947	Facebook	carinthia_AT	Carinthia, Austria	2	1	86	34	1	0
37 ºC		1841873049391990	Facebook	carinthia_AT	Carinthia, Austria	1	1	86	17	0	0
RedSea Holidays		502110263459855	Facebook	carinthia_AT	Carinthia, Austria	1	1	85	17	1	0
Julia Reda		1444482109146991	Facebook	carinthia_AT	Carinthia, Austria	1	1	85	42	0	0
China.org.cn		295446797213542	Facebook	carinthia_AT	Carinthia, Austria	1	1	85	42	0	0
Хеморрел при хемороиди. От Phyto life Ltd.		641545439273390	Facebook	carinthia_AT	Carinthia, Austria	1	1	85	17	0	0
Прибыльные известия		563621860696849	Facebook	carinthia_AT	Carinthia, Austria	3	1	84	18	0	0
Wasabi -Learn Japanese Online-		1520460718232403	Facebook	carinthia_AT	Carinthia, Austria	5	1	83	27	0	0
A Solution to Plastic Pollution - First International Online Summit		1098001547034272	Facebook	carinthia_AT	Carinthia, Austria	5	1	82	27	0	0
BJV - Bundesjugendvertretung		324443231125	Facebook	carinthia_AT	Carinthia, Austria	2	1	82	0	8	0
Reden ist Gold		742166756142301	Facebook	carinthia_AT	Carinthia, Austria	1	1	82	41	0	0
oyoyo		1645003835591858	Facebook	carinthia_AT	Carinthia, Austria	3	1	82	11	3	0
photovoltaik		920212084736262	Facebook	carinthia_AT	Carinthia, Austria	1	1	81	16	1	0
Ceramica.info		1677623205672969	Facebook	carinthia_AT	Carinthia, Austria	2	1	81	0	8	0
Janina Rossiter		110586626329708	Facebook	carinthia_AT	Carinthia, Austria	1	1	80	16	1	0
MasterClass		687589164666184	Facebook	carinthia_AT	Carinthia, Austria	2	1	79	39	0	0
Verein Schutzinitiative		253189422003916	Facebook	carinthia_AT	Carinthia, Austria	1	1	78	39	0	0
MonkeyShirts		434630477371919	Facebook	carinthia_AT	Carinthia, Austria	1	1	77	15	1	0
TECNARO		185104921530882	Facebook	carinthia_AT	Carinthia, Austria	1	1	76	15	1	0
LegacyFx		966644110116765	Facebook	carinthia_AT	Carinthia, Austria	3	1	76	38	0	0
PurNatour		128687870536585	Facebook	carinthia_AT	Carinthia, Austria	3	1	75	15	1	0
Kunstverein Art&Vision hg		190021161601527	Facebook	carinthia_AT	Carinthia, Austria	4	1	75	20	1	0
David Davis		110086563163154	Facebook	carinthia_AT	Carinthia, Austria	9	1	74	14	0	0
HLK		193828721124334	Facebook	carinthia_AT	Carinthia, Austria	1	1	72	14	1	0
Le Monde		14892757589	Facebook	carinthia_AT	Carinthia, Austria	4	1	72	33	0	0
Giving Brush		1945237355733646	Facebook	carinthia_AT	Carinthia, Austria	10	1	71	13	1	0
Kopfgewitter		801666226630905	Facebook	carinthia_AT	Carinthia, Austria	1	1	71	14	1	0
Osiris - Verlag		191608214511317	Facebook	carinthia_AT	Carinthia, Austria	2	1	71	14	1	0
