advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Katarina Roth Nevedalova	Roth Nevedalova Katarina	237493046280813	Facebook	nitra_region	Nitra Region	SK	Slovakia	8	1	2676	710	9	0
Igor Dušenka - kandidát do Európskeho parlamentu	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1160570887436415	Facebook	nitra_region	Nitra Region	SK	Slovakia	6	1	2535	624	19	2
Miriam Kuzárová, kandidátka do Európskeho parlamentu	KDH	137416183351336	Facebook	nitra_region	Nitra Region	SK	Slovakia	25	1	2530	600	19	0
Karol Farkašovský	Farkašovský Karol	239398722928942	Facebook	nitra_region	Nitra Region	SK	Slovakia	5	1	2389	518	7	0
PRÁVO A SPRAVODLIVOSŤ	Puskar Peter	233192996736186	Facebook	nitra_region	Nitra Region	SK	Slovakia	5	1	2376	852	10	1
Monika Beňová		253595649968	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	2116	423	4	0
Lucia Kleštincová	EUpositive.sk	1933440166748185	Facebook	nitra_region	Nitra Region	SK	Slovakia	7	1	2069	765	9	0
Karol Galek stráži vaše účty za energie		234030556972158	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1912	382	3	0
Penta Investments		1655338381438249	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	1899	949	4	0
Karol Konárik		496532343769495	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	1770	354	8	1
Matúš Bystriansky - kandidát na europoslanca	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1650953941825108	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1732	866	4	0
Branislav Škripek		498701220263973	Facebook	nitra_region	Nitra Region	SK	Slovakia	16	1	1637	366	7	0
Natália Blahová	Richard Sulik	116165421757343	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	1601	499	7	0
Tibor Jančula		722655554755578	Facebook	nitra_region	Nitra Region	SK	Slovakia	9	1	1509	430	12	0
Michal Považan - kandidát do Európskeho parlamentu za KDH		1183320988494283	Facebook	nitra_region	Nitra Region	SK	Slovakia	38	1	1472	327	32	0
Erika Halašová	Most-Híd (Híd-Most)	516916788839635	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	1419	511	20	0
innogy Slovensko		1507642339525848	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	1368	292	24	2
RNDr. Martin Smrčo - Váš poslanec KSK za Košice-okolie	Kresťanská únia	2035595066727076	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	1350	444	10	0
Kresťanská únia		558882197954288	Facebook	nitra_region	Nitra Region	SK	Slovakia	10	1	1329	382	7	1
Adriana Pčolinská		146485692391619	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	1318	263	2	0
Janka Cigániková - Fungujúce zdravotníctvo		708006319284463	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	1276	255	2	0
Council of the European Union		147547541961576	Facebook	nitra_region	Nitra Region	SK	Slovakia	5	1	1252	250	2	0
Pirátska strana		565346557262681	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1245	249	2	0
setri.sk		156171952294	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1222	244	2	0
Doprava	DOPRAVA	184971192157634	Facebook	nitra_region	Nitra Region	SK	Slovakia	9	1	1193	391	12	0
Hlavný denník		460072524405386	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	1177	588	5	1
Top predajcovia		131010207555246	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	1163	324	12	1
Obnovujeme.sk		397547021023863	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1136	227	2	0
Liga za ľudské práva / Human Rights League		810794665738940	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1136	227	2	0
Peter Pellegrini		403027089864701	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1063	212	2	0
Klik.sk		423386238408026	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1052	206	4	0
Rastislav Masnyk	Sme rodina	421272045293538	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	1038	255	3	0
Bauer Ildikó		269221090588670	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	999	0	99	0
EURACTIV.sk		53798312370	Facebook	nitra_region	Nitra Region	SK	Slovakia	18	1	974	261	18	0
TREND - Týždenník o ekonomike a podnikaní		103630647170	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	965	193	1	0
Ing. Zdena Patakyová kandidát na europoslanca č. 7 PH Hlas ľudu		2129719210624822	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	952	190	1	0
Martin Šmilňák	KDH	279200712281963	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	897	179	8	1
Lucia Gurbáľová	KDH	281656152765874	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	825	165	8	1
istavebnictvo.sk		170364809998807	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	818	163	0	0
Michal Kozubík - Rozdiely nás spájajú		494698744355165	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	815	163	2	0
Peter Pčolinský	Sme rodina	1474292699522070	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	804	160	1	0
Priama Demokracia	Geci Marek	654142781268532	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	803	160	2	0
Štefan Adam DOMA DOBRE		843908022621539	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	783	156	2	0
Eugen Jurzyca - V Bruseli za Slovensko		1118309918191690	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	782	189	2	0
IdemVolit.sk		1873182709572871	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	776	155	1	0
Kialo		729627343834501	Facebook	nitra_region	Nitra Region	SK	Slovakia	335	1	720	252	4	1
Erika Jurinová	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	467066839986458	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	664	332	3	0
Ivan Matušek - hľadajme riešenia		2266621756935859	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	651	325	6	0
Silný výber		405572016846217	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	632	126	5	1
