advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alojz Hlina		552717621530226	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Demokratická strana		140675702940687	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Living Memory		1276864029054054	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Lukáš Machala		1642957825977961	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Tomáš Popovič		2259953450722585	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Karol Ides váš kandidát do Európskeho parlamentu		252805985406935	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Vladimír Olej • Progresívne Slovensko		291225024879344	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	98	0
Bratislavské Hanusove Dni		370209059760069	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Českoaktuálně.cz		1609110509368821	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	98	0
Il Ponte - Slovak Student Journal		930510607038440	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Schwarzkopf Professional		150101695010185	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	3	0
PSF Platforma Trenčín		757123518002434	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Richard Jánoš SPOLU - občianska demokracia		375069459723496	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Zábavné videá		1507321802887361	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Najlepšia Považská		183691125845966	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Miloslav Valko		326063564662023	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
INESS		53390100905	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
