advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
KDU Göteborg	KDU Göteborg	337673949604125	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	12	0	0	0
Kristdemokraterna Fyrbodal	Kristdemokraterna i VGN	1764033887144522	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	12	2	0	0
Susanna Gideonsson	Handelsanställdas förbund	2256836864595743	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	11	2	0	0
Fredsövning	ABRAHAMSSON PER-OLOV	717556358417977	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	11	2	0	0
Martin Ängeby	Angeby Martin Lennart Valdemar	354019898061233	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	11	2	0	0
IOGT-NTO	IOGT-NTO	28237261288	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	9	3	0	0
Vänsterpartiet Umeå	Sellstedt Karl Sven Andreas	237863203023150	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	9	1	0	0
Gröna Studenter	Almén Henrik Carl Olof	31779071967	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	8	4	0	0
Vänsterpartiet Solna	Vänsterpartiet 	273249776157066	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	8	1	0	0
Folkbildarforum	Bildningsförbundet Östergötland	164688070209892	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	8	1	0	0
Socialdemokraterna i Mark	Andersson Hakan Ulf Goran	528944283871109	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	7	1	0	0
Eva B Arnesson - KD	Eva B Arnesson - KD	297923747637590	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	7	1	0	0
Socialdemokraterna Kungälv	Kungälvs Socialdemokratiska Arbetarekommun	241319269242484	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	7	1	0	0
Nackamoderaterna	Nackamoderaterna	132143480932	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	7	3	0	0
Tallis talar		1206136579519699	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	7	0	0	0
KD Region Uppsala	KD Region Uppsala	195658617439309	Facebook	vastmanland_county	Västmanland County	SE	Sweden	4	1	6	0	0	0
Bodil Valero sida	Valero Bodil Elisabeth	300733377216643	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	6	1	0	0
Georgia Ferris KD EU-Kandidat	Ferris Georgia Minnie Anna	407374246718043	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	6	1	0	0
Centerpartiet Upplands Väsby	Magnusson Kjell Johan Sonny	1457926257795252	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	5	0	0	0
Vänsterpartiet Skåne	Vänsterpartiet Skåne	111566022258925	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	5	1	0	0
Miljöpartiet de gröna i Helsingborg	Miljöpartiet de gröna i Helsingborg	106956499327992	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	5	1	0	0
Vänsterpartiet Fyrbodal	Vänsterpartiet Fyrbodal	154507768394620	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	5	1	0	0
Fria Moderata Studentförbundet	Fria Moderata Studentförbundet	119885094691458	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	5	1	0	0
Axess Magasin & TV	Axess Magasin & TV	887305194662637	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	5	1	0	0
Grön Omstart	Wallin Lena Maria	407812702944641	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	5	0	0	0
Richard Brodd Liberalerna	Brodd Karl Erik Richard	223726468440460	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	4	0	0	0
Moderaterna i Mölndal	Brown Stjarna Amanda Charlotte	125396154314182	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	4	0	0	0
Moderaterna i Håbo	Erling Björn Karl Gustaf	256926791030140	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	4	0	0	0
Marie Nilsson	IF Metall	292532504512919	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	4	0	0	0
Jan Lenander, politiskt engagerad	Lenander Jan Richard	1834522019966466	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	3	0	0	0
Reformisterna	Reformisterna	2337692372925538	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	3	0	0	0
Stiftelsen Expo	Stiftelsen Expo	208751565805849	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	3	0	0	0
Jesper Skalberg Karlsson	Skalberg Karlsson Jesper Jens J	2171970199486213	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	3	0	0	0
Centerpartiet i Umeå	Centerpartiet	450620155297	Facebook	vastmanland_county	Västmanland County	SE	Sweden	4	1	3	0	0	0
Anna Vikström		1671556912954715	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	3	0	0	0
KD Sigtuna	Makris Jessica Therese	2063183643940247	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	3	0	0	0
Studieförbundet Bilda	Wallstedt Bo Fredrik	161514177194883	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	3	0	0	0
Kristdemokraterna Västerbotten	Kristdemokraterna Västerbotten	414156238684191	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	2	0	0	0
Timbro	Timbro	237146235237	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	2	0	0	0
Stoppa höjningen av Sveriges EU-avgift	Fria Moderata Studentförbundet	306402583588293	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	2	0	0	0
Arbetsmarknadsnytt	Arbetsmarknadsnytt	799634660143537	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	2	0	0	0
KD Kungsbacka	KD Kungsbacka	2024157037852156	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	2	0	0	0
Tankar Online		114769995938282	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Karin Karlsbro - Liberalerna.	Liberalerna	559163754139097	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Semantiko	MTWABP Sweden AB	656090384536434	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Centerpartiet i Hällefors	Nygren Ingemar Tobias	189736311810878	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	1	0	0	0
Kvinna till Kvinna	Kvinna till Kvinna	153028052500	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Moderaterna i Västra Götaland	Moderaterna i Västra Götaland	295727652090	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	1	0	0	0
