advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	306	1	4473694	1353000	31494	300
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	70	1	4454930	1784000	8367	1858
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	129	1	4414871	1185000	45597	12251
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	14	1	4413986	2172000	5277	1093
CGTN		565225540184937	Facebook	7	1	4399993	2100000	3109	623
Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	26	1	4394974	1910000	32718	6133
Europäisches Parlament Österreich		124468054313069	Facebook	35	1	4394965	1825000	18065	6400
Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	92	1	4367908	1670000	10308	300
Podem	Unides Podem-Esquerra Unida	792238440859918	Facebook	47	1	4298953	1835000	20153	6900
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	108	1	4291892	1683000	13449	3439
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	262	1	4251738	1205000	30438	1400
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	102	1	4245898	1400000	13698	900
Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	87	1	4241913	1639000	11013	600
Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	107	1	4232893	1376000	27393	4800
España Ciudadana		349800235527721	Facebook	18	1	4220982	1850000	21182	5000
Andy Street	The Conservative Party	625464517632792	Facebook	591	1	4198409	1228000	76963	2314
Oxfam Novib		115289021825188	Facebook	39	1	4167961	1698000	56761	17700
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	26	1	4130000	400000	3550	250
Ministère de l'Intérieur		103146727990	Facebook	32	1	4117968	1710000	21468	5000
Rumilus Design Oy		AR391102333313875968	Google	32	1	4100000	390000	1600	0
INBOX	New Digital Media	369693523475596	Facebook	36	1	4074964	1757000	4764	300
The Bamboo Brush Society		1152885191422950	Facebook	82	1	4064918	1556000	19018	2500
Facebook	Facebook	726281677519881	Facebook	5	1	4009995	2005000	20095	4000
Matthew Hussey		525275707491504	Facebook	51	1	4008949	1713000	43837	8723
Dan Lok		998837360158985	Facebook	62	1	3948938	1658000	139872	34803
Save the Refugees		1931458237163388	Facebook	67	1	3933933	1338000	24952	4361
Make.org	Make.org	122037308191612	Facebook	63	1	3885937	1622000	30837	6300
DéFI	DéFI	173518112695794	Facebook	149	1	3880851	952000	22851	2300
Stichting Vluchteling		120034538112114	Facebook	83	1	3873917	1524000	59117	13900
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	80	1	3864920	1388000	13220	1600
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	44	1	3843956	1565000	8056	1200
London Gov	the Greater London Authority	713179875369048	Facebook	43	1	3825957	1674000	36748	7290
Property & Business Info		562032903912680	Facebook	283	1	3817717	1103000	58689	8794
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	20	1	3815980	1593000	6918	3113
Politice.net	politice.net	2546711162025064	Facebook	12	1	3675988	1738000	3611	756
Litere.net	litere.net	1504323906337545	Facebook	13	1	3669987	1690000	3148	798
Ingredientes que Suman		586540488142205	Facebook	13	1	3664987	1686000	9487	2100
Stefano Maullu		150618724962388	Facebook	34	1	3641966	1452000	9466	1800
Renew	Renew  Party	1923371311278106	Facebook	179	1	3635821	868000	42956	6248
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	42	1	3595958	1485000	9358	1300
Coalicion Canaria	Coalicion Canaria	1499578240271320	Facebook	45	1	3589955	1362000	8955	1400
Mayor of London	the Greater London Authority	360322167647280	Facebook	18	1	3580982	1482000	37472	7290
Agence Isolation Pour Tous		568528630290119	Facebook	25	1	3577975	1481000	43675	10100
Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	22	1	3568978	1618000	23378	4400
Mónica Oltra	Compromís	81107269227	Facebook	19	1	3556981	1611000	13381	3200
MDM Deutsche Münze		126866220711392	Facebook	47	1	3549953	1366000	13953	2100
David Casa	David Casa	193035580892638	Facebook	88	1	3532912	997000	11912	800
Amref Health Africa - Italia		48677844864	Facebook	103	1	3494897	1229000	12997	700
Socialdemokratiet		41459763029	Facebook	104	1	3458896	1146000	39044	10738
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	785	1	3455215	1075000	99115	8200
Facebook Nordic	Facebook	334318366655425	Facebook	9	1	3449991	1610000	21291	4286
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	111	1	3441889	1040000	14189	800
HLAS	První prezidentská	320144481956623	Facebook	259	1	3439741	862000	6468	1779
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	690	1	3421310	750000	29392	6132
Game of Sultans		185311195624361	Facebook	7	1	3399993	1500000	75654	17802
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	37	1	3391963	1394000	8663	1800
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	61	1	3358939	1320000	6996	378
Párbeszéd Magyarországért		AR567356246269624320	Google	11	1	3350000	330000	1900	150
Greenpeace Polska		32104614789	Facebook	61	1	3343939	1377000	7313	1768
Asthma UK	Asthma UK	40952091012	Facebook	14	1	3320986	1477000	27756	6133
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	61	1	3304939	1087000	27439	6000
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	7	1	3299993	1450000	17493	3800
Unis pour les Droits Humains		1642871805813802	Facebook	29	1	3290971	1367000	2911	89
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	82	1	3285918	711000	8118	0
Fianna Fáil		AR101183107301900288	Google	31	1	3280000	310000	4250	300
Respeto LGTB		2315084548728652	Facebook	313	1	3279687	1187000	36287	1600
